COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
BENTLEY ELEMENTARY SCHOOL,Seminole,3,2,0,1,0,,2,0,,1,28,21,5,1,1,11,6,11
BLOSSOMS ACADEMY,Seminole,0,0,0,0,0,,0,0,,0,1,0,1,0,0,1,0,0
CARILLON ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,14,10,4,0,0,11,2,1
CASSELBERRY ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,14,11,2,0,1,11,1,2
CENTRAL FLORIDA ACADEMY OF THE ARTS,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
CHOICES IN LEARNING CHARTER,Seminole,0,0,0,0,0,,0,0,,0,14,11,3,0,0,6,5,3
CIRCLE CHRISTIAN SCHOOL OVIEDO CAMPUS,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
CIRCLE CHRISTIAN SCHOOL WINTER SPRINGS CAMPUS,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
CITY CHURCH ACADEMY,Seminole,0,0,0,0,0,,0,0,,0,3,3,0,0,0,1,2,0
CROOMS ACADEMY OF INFORMATION TECHNOLOGY,Seminole,0,0,0,0,0,,0,0,,0,21,18,2,1,0,13,3,5
CRYSTAL LAKE ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,19,16,2,0,1,10,4,5
DOUBLE R PRIVATE SCHOOL INC.,Seminole,0,0,0,0,0,,0,0,,0,2,2,0,0,0,1,0,1
EASTBROOK ELEMENTARY SCHOOL,Seminole,1,1,0,0,0,,0,1,,0,28,21,2,2,3,15,6,7
ENDEAVOR SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,2,0,1,0,1,2,0,0
ENGLISH ESTATES ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,8,6,1,0,1,4,1,3
EVANS ELEMENTARY SCHOOL,Seminole,1,1,0,0,0,,0,0,,1,25,22,2,1,0,19,4,2
FOREST CITY ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,28,25,3,0,0,14,10,4
FOREST LAKE ACADEMY,Seminole,0,0,0,0,0,,0,0,,0,23,20,1,1,1,12,2,9
FOREST LAKE EDUCATION CENTER,Seminole,0,0,0,0,0,,0,0,,0,23,21,2,0,0,10,5,8
GALILEO SCHOOL FOR GIFTED LEARNING,Seminole,0,0,0,0,0,,0,0,,0,40,30,6,1,3,23,6,11
GALILEO SCHOOL FOR GIFTED LEARNING SKYWAY,Seminole,0,0,0,0,0,,0,0,,0,20,17,1,2,0,10,6,4
GENEVA ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,10,6,2,1,1,4,5,1
GOLDSBORO ELEMENTARY MAGNET,Seminole,0,0,0,0,0,,0,0,,0,8,6,1,0,1,5,1,2
GREENWOOD LAKES MIDDLE SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,31,29,1,0,1,17,6,8
HAGERTY HIGH SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,101,92,5,3,1,86,7,8
HAMILTON ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,11,7,2,1,1,7,2,2
HEATHROW ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,15,14,1,0,0,9,4,2
HIGHLANDS ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,16,11,1,2,2,9,4,3
HOLY CROSS LUTHERAN ACADEMY,Seminole,0,0,0,0,0,,0,0,,0,4,2,1,0,1,2,1,1
HOLY CROSS LUTHERAN ACADEMY UPPER SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,2,1,0,0,1,1,0,1
IDYLLWILDE ELEMENTARY SCHOOL,Seminole,1,1,0,0,0,,1,0,,0,13,12,1,0,0,6,4,3
INDIAN TRAILS MIDDLE SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,30,23,4,2,1,23,2,5
INSPIRE LEARNING ACADEMY,Seminole,0,0,0,0,0,,0,0,,0,4,3,0,0,1,3,0,1
INTERNATIONAL COMMUNITY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,12,11,1,0,0,11,1,0
JACKSON HEIGHTS MIDDLE SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,50,42,2,2,4,30,13,7
JOURNEYS ACADEMY,Seminole,0,0,0,0,0,,0,0,,0,2,1,1,0,0,1,0,1
KEETH ELEMENTARY SCHOOL,Seminole,1,1,0,0,0,,1,0,,0,13,10,3,0,0,9,1,3
LAKE BRANTLEY HIGH SCHOOL,Seminole,6,6,0,0,0,,3,1,,2,141,132,7,1,1,92,15,34
LAKE FORREST PREPARATORY SCHOOL,Seminole,1,1,0,0,0,,0,0,,1,20,12,4,0,4,15,0,5
LAKE HOWELL HIGH SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
LAKE HOWELL HIGH SCHOOL,Seminole,2,2,0,0,0,,2,0,,0,115,106,4,2,3,82,11,22
LAKE MARY ELEMENTARY SCHOOL,Seminole,1,1,0,0,0,,1,0,,0,30,22,2,2,4,16,9,5
LAKE MARY HIGH SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
LAKE MARY HIGH SCHOOL,Seminole,1,1,0,0,0,,1,0,,0,144,136,3,2,3,107,17,20
LAKE MARY PREPARATORY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,15,15,0,0,0,12,2,1
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
LAKE ORIENTA ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,11,10,0,1,0,4,5,2
LAWTON CHILES MIDDLE SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
LAWTON CHILES MIDDLE SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,51,46,3,1,1,35,6,10
LAWTON ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,20,11,5,2,2,15,4,1
LAYER ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,24,16,6,1,1,15,5,4
LIBERTY CHRISTIAN SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,14,13,0,0,1,12,2,0
LONGWOOD CHRISTIAN ACADEMY,Seminole,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
LONGWOOD COMMUNITY PRESCHOOL ACADEMY,Seminole,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
LONGWOOD ELEMENTARY,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
LONGWOOD ELEMENTARY SCHOOL,Seminole,1,1,0,0,0,,1,0,,0,18,13,3,0,2,15,1,2
LYMAN HIGH SCHOOL,Seminole,1,1,0,0,0,,1,0,,0,75,67,4,3,1,57,6,12
MARKHAM WOODS MIDDLE SCHOOL,Seminole,1,1,0,0,0,,1,0,,0,30,27,2,1,0,20,6,4
MIDWAY ELEMENTARY SCHOOL,Seminole,1,1,0,0,0,,0,0,,1,37,32,1,1,3,19,8,10
MILLENNIUM MIDDLE SCHOOL,Seminole,1,1,0,0,0,,1,0,,0,29,24,2,1,2,20,6,3
MILWEE MIDDLE SCHOOL,Seminole,1,1,0,0,0,,1,0,,0,42,37,3,0,2,31,2,9
OAK ARBOR CHRISTIAN SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,2,1,0,1,0,2,0,0
ONE SCHOOL OF THE ARTS,Seminole,0,0,0,0,0,,0,0,,0,20,18,0,0,2,14,3,3
ORANGEWOOD CHRISTIAN SCHOOL K-6,Seminole,0,0,0,0,0,,0,0,,0,7,5,0,1,1,6,1,0
OVEIDO HIGH SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
OVIEDO HIGH SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,1,0,0,0,1,0,0,1
OVIEDO HIGH SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,122,115,0,3,4,74,19,29
PACE - BRANTLEY HALL SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,7,5,2,0,0,7,0,0
PARTIN ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,9,6,0,0,3,7,2,0
PINE CREST ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
PINE CREST ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,35,29,5,1,0,20,9,6
RAINBOW ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,23,16,5,0,2,11,5,7
RED BUG ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,16,16,0,0,0,12,2,2
REVIVAL FIRE CHRISTIAN ACADEMY,Seminole,0,0,0,0,0,,0,0,,0,2,1,1,0,0,0,0,2
ROCK LAKE MIDDLE SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
ROCK LAKE MIDDLE SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,23,21,1,1,0,17,5,1
SABAL POINT ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,26,23,1,1,1,20,2,4
SANFORD MIDDLE SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,37,34,1,2,0,25,7,5
SANLANDO CHRISTIAN SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,0,1
SCPS CONSEQUENCE UNIT,Seminole,0,0,0,0,0,,0,0,,0,4,3,1,0,0,2,1,1
SCPS EARLY LEARNING CENTER,Seminole,0,0,0,0,0,,0,0,,0,1,0,1,0,0,0,0,1
SEMINOLE DISTRICT OFFICE,Seminole,0,0,0,0,0,,0,0,,0,13,0,1,10,2,6,1,6
SEMINOLE HIGH SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,2,1,0,0,1,2,0,0
SEMINOLE HIGH SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,132,127,5,0,0,90,15,27
SEMINOLE SCIENCE CHARTER SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,14,13,1,0,0,9,3,2
SOCRATES PREPARATORY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
SOUTH SEMINOLE MIDDLE SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,39,31,7,0,1,29,2,8
SPRING LAKE ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,11,6,1,1,3,7,2,2
ST. LUKE'S LUTHERAN SCHOOL,Seminole,1,1,0,0,0,,1,0,,0,34,25,6,1,2,23,6,5
ST. MARY MAGDALEN CATHOLIC SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,9,9,0,0,0,6,1,2
ST. PETER'S PRESCHOOL KINDERGARTEN,Seminole,1,1,0,0,0,,1,0,,0,1,1,0,0,0,1,0,0
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
STARCHILD ACADEMY LAKE MARY,Seminole,0,0,0,0,0,,0,0,,0,5,5,0,0,0,3,1,1
STENSTROM ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,24,21,1,1,1,16,3,5
STERLING PARK ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,13,9,1,2,1,10,0,3
TEAGUE MIDDLE SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,34,29,3,1,1,18,8,8
THE GENEVA SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,4,3,0,0,1,2,0,2
THE GENEVA SCHOOL UPPER,Seminole,0,0,0,0,0,,0,0,,0,8,8,0,0,0,7,0,1
THE LYMAN SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,2,2,0,0,0,1,1,0
THE MASTER'S ACADEMY,Seminole,1,1,0,0,0,,0,0,,1,25,24,1,0,0,18,4,3
THE ROCK ACADEMY,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
TUSKAWILLA LEARNING CENTER,Seminole,0,0,0,0,0,,0,0,,0,6,4,2,0,0,4,1,1
TUSKAWILLA MIDDLE SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,48,43,4,0,1,31,10,7
UCP SEMINOLE CHILD DEVELOPMENT,Seminole,0,0,0,0,0,,0,0,,0,16,9,5,2,0,12,2,2
WALDEN COMMUNITY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
WALKER ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,14,9,1,0,4,7,6,1
WEKIVA ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,20,19,1,0,0,12,6,2
WICKLOW ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,16,12,2,0,2,11,2,3
WILSON ELEMENTARY SCHOOL,Seminole,1,1,0,0,0,,1,0,,0,41,37,3,0,1,25,7,9
WINTER SPRINGS ELEMENTARY SCHOOL,Seminole,0,0,0,0,0,,0,0,,0,25,23,1,1,0,16,8,1
WINTER SPRINGS HIGH SCHOOL,Seminole,1,1,0,0,0,,1,0,,0,86,79,5,2,0,58,13,15
WINTER SPRINGS HIGHSCHOOL,Seminole,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
WOODLANDS ELEMENTARY SCHOOL,Seminole,1,1,0,0,0,,0,1,,0,16,12,3,1,0,8,5,3
ALICE B. LANDRUM MIDDLE SCHOOL,St. Johns,9,9,0,0,0,,9,0,,0,81,74,2,3,2,71,9,1
ALLEN D NEASE SENIOR HIGH SCHOOL,St. Johns,6,5,1,0,0,,5,1,,0,216,202,3,6,5,181,31,4
ARK CHRISTIAN ACADEMY,St. Johns,0,0,0,0,0,,0,0,,0,5,4,0,1,0,5,0,0
BARTRAM TRAIL HIGH SCHOOL,St. Johns,2,2,0,0,0,,2,0,,0,269,258,8,2,1,209,57,3
BEACON OF HOPE CHRISTIAN SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,3,2,1,0,0,2,1,0
BLIND HIGH SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,6,3,0,2,1,5,1,0
BLIND PK-8 SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
BOLLES,St. Johns,0,0,0,0,0,,0,0,,0,14,13,1,0,0,11,3,0
BRIDGEHAVEN ACADEMY,St. Johns,0,0,0,0,0,,0,0,,0,4,2,0,0,2,1,3,0
BROACH SCHOOL - PONTE VEDRA,St. Johns,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
CATHEDRAL PARISH SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,3,3,0,0,0,1,2,0
COLLAGE DAY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,1,0,0,1,0,1,0,0
CREEKSIDE HIGH SCHOOL,St. Johns,1,1,0,0,0,,1,0,,0,156,140,12,2,2,123,28,5
CROOKSHANK ELEMENTARY SCHOOL,St. Johns,2,1,1,0,0,,2,0,,0,28,20,3,2,3,21,7,0
CUNNINGHAM CREEK ELEMENTARY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,29,19,3,2,5,21,8,0
DEAF ELEMENTARY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,3,1,1,1,0,3,0,0
DEAF HIGH SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,3,1,0,0,2,2,0,1
DEAF MIDDLE SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,9,9,0,0,0,3,2,4
DEAF/BLIND DISTRICT OFFICE,St. Johns,0,0,0,0,0,,0,0,,0,1,0,1,0,0,1,0,0
DURBIN CREEK ELEMENTARY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,21,17,2,1,1,15,5,1
FIRST COAST TECHNICAL COLLEGE,St. Johns,0,0,0,0,0,,0,0,,0,13,10,0,1,2,12,1,0
FREEDOM CROSSING ACADEMY,St. Johns,0,0,0,0,0,,0,0,,0,94,77,8,3,6,67,24,3
FRUIT COVE MIDDLE SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
FRUIT COVE MIDDLE SCHOOL,St. Johns,6,6,0,0,0,,6,0,,0,69,62,4,0,3,53,14,2
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
GAINES ALTERNATIVE AT HAMBLEN,St. Johns,0,0,0,0,0,,0,0,,0,4,1,1,1,1,4,0,0
GAMBLE ROGERS MIDDLE SCHOOL,St. Johns,1,1,0,0,0,,1,0,,0,47,36,5,3,3,33,9,5
HICKORY CREEK ELEMENTARY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,24,19,1,2,2,18,5,1
ISLAND PREP,St. Johns,0,0,0,0,0,,0,0,,0,4,2,0,0,2,3,1,0
JULINGTON CREEK ELEMENTARY,St. Johns,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
JULINGTON CREEK ELEMENTARY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,37,32,1,3,1,25,11,1
KETTERLINUS ELEMENTARY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,25,13,7,2,3,20,4,1
LIBERTY PINES ACADEMY,St. Johns,1,1,0,0,0,,0,0,,1,72,67,3,0,2,54,14,4
LIFE WORK/PROJECT SEARCH,St. Johns,0,0,0,0,0,,0,0,,0,5,5,0,0,0,5,0,0
MILL CREEK ACADEMY,St. Johns,0,0,0,0,0,,0,0,,0,59,53,4,0,2,42,16,1
OCEAN PALMS ELEMENTARY SCHOOL,St. Johns,1,1,0,0,0,,1,0,,0,24,18,4,0,2,15,9,0
OSCEOLA ELEMENTARY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,15,11,3,0,1,9,5,1
OTIS A. MASON ELEMENTARY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,17,12,3,0,2,9,6,2
PACETTI BAY,St. Johns,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
PACETTI BAY MIDDLE SCHOOL,St. Johns,2,2,0,0,0,,1,1,,0,67,62,3,1,1,47,19,1
PALENCIA ELEMENTARY SCHOOL,St. Johns,1,1,0,0,0,,1,0,,0,29,19,4,4,2,25,4,0
PALM VALLEY ACADEMY,St. Johns,2,1,0,1,0,,2,0,,0,103,81,9,8,5,74,25,4
PALMER CATHOLIC ACADEMY,St. Johns,0,0,0,0,0,,0,0,,0,17,14,3,0,0,13,4,0
PATRIOT OAKS ACADEMY,St. Johns,0,0,0,0,0,,0,0,,0,79,65,6,3,5,54,24,1
PEDRO MENENDEZ HIGH SCHOOL,St. Johns,3,3,0,0,0,,2,1,,0,87,77,4,5,1,67,19,1
PICOLATA CROSSING ELEMENTARY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,16,14,2,0,0,12,4,0
PONTE VEDRA HIGH SCHOOL,St. Johns,2,2,0,0,0,,2,0,,0,165,156,2,2,5,123,34,8
PONTE VEDRA PALM VALLEY- RAWLINGS ELEMENTARY SCHOO,St. Johns,0,0,0,0,0,,0,0,,0,42,34,4,1,3,33,6,3
R J MURRAY MIDDLE SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,29,24,1,1,3,20,9,0
R. B. HUNT ELEMENTARY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,13,12,1,0,0,9,2,2
SAN JUAN DEL RIO CATHOLIC SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,16,13,0,2,1,9,5,2
SEBASTIAN MIDDLE SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,23,16,1,3,3,17,6,0
SOUTH WOODS ELEMENTARY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,21,12,5,3,1,14,5,2
ST JOHNS COUNTY TRANSITION PROGRAM,St. Johns,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
ST. AUGUSTINE HIGH SCHOOL,St. Johns,1,1,0,0,0,,1,0,,0,131,115,8,5,3,104,25,2
ST. AUGUSTINE PUBLIC MONTESSORI SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
ST. JOHN'S ACADEMY,St. Johns,0,0,0,0,0,,0,0,,0,8,4,1,1,2,5,3,0
ST. JOHNS COMMUNITY CAMPUS,St. Johns,0,0,0,0,0,,0,0,,0,1,0,0,1,0,0,1,0
ST. JOHNS DISTRICT OFFICE,St. Johns,0,0,0,0,0,,0,0,,0,3,0,1,1,1,3,0,0
ST. JOHNS TECHNICAL HIGH SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,19,13,2,0,4,17,2,0
ST. JOSEPH ACADEMY,St. Johns,1,1,0,0,0,,0,1,,0,12,11,0,1,0,8,4,0
SWITZERLAND POINT MIDDLE SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,70,58,6,2,4,57,11,2
THE PIONEER SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
THE WEBSTER SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,25,14,2,5,4,17,8,0
TIMBERLIN CREEK ELEMENTARY SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,51,41,5,4,1,37,12,2
TURNING POINT CHRISTIAN ACADEMY,St. Johns,0,0,0,0,0,,0,0,,0,2,1,0,0,1,1,1,0
VALLEY RIDGE ACADEMY,St. Johns,1,1,0,0,0,,1,0,,0,75,57,5,6,7,54,19,2
VERITAS CLASSICAL PRIVATE SCHOOL INC,St. Johns,0,0,0,0,0,,0,0,,0,6,5,1,0,0,4,2,0
VICTORY PREPARATORY SCHOOL,St. Johns,8,5,1,2,0,,7,1,,0,14,11,1,2,0,12,2,0
W. DOUGLAS HARTLEY ELEMENTARY,St. Johns,2,1,0,0,1,,2,0,,0,16,13,0,1,2,12,4,0
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
WARDS CREEK ELEMENTARY SCHOOL,St. Johns,5,5,0,0,0,,2,3,,0,21,19,0,1,1,13,8,0
WASHINGTON CLASSICAL CHRISTIAN SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
WASHINGTON CLASSICAL CHRISTIAN SCHOOL,St. Johns,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
ACCELERATION ACADEMY,St. Lucie,0,0,0,0,0,,0,0,,0,2,2,0,0,0,0,1,1
ALL VILLAGES CHRISTIAN SCHOOL,St. Lucie,0,0,0,0,0,,0,0,,0,1,0,0,1,0,0,1,0
ALLAPATTAH FLATS K-8,St. Lucie,0,0,0,0,0,,0,0,,0,1,0,0,0,1,0,1,0
ALLAPATTAH FLATS K-8,St. Lucie,0,0,0,0,0,,0,0,,0,29,12,3,4,10,25,4,0
BAYSHORE ELEMENTARY SCHOOL,St. Lucie,0,0,0,0,0,,0,0,,0,18,10,2,0,6,11,7,0
BETHANY SCHOOL,St. Lucie,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
CALVARY CHRISTIAN ACADEMY,St. Lucie,0,0,0,0,0,,0,0,,0,9,5,0,1,3,8,1,0
CHESTER A. MOORE ELEMENTARY SCHOOL,St. Lucie,0,0,0,0,0,,0,0,,0,14,6,2,2,4,10,3,1
CHRIST LUTHERAN SCHOOL,St. Lucie,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
CLUB MED ACADEMIES,St. Lucie,0,0,0,0,0,,0,0,,0,12,11,0,0,1,5,6,1
CREATIVE ARTS ACADEMY OF ST. LUCIE,St. Lucie,1,1,0,0,0,,1,0,,0,16,13,0,0,3,13,2,1
DALE CASSENS EDUCATION COMPLEX,St. Lucie,0,0,0,0,0,,0,0,,0,12,5,0,1,6,8,2,2
DALTON LEARNING ACADEMY,St. Lucie,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
DAN MCCARTY MIDDLE SCHOOL,St. Lucie,4,3,1,0,0,,2,2,,0,24,17,1,1,5,19,5,0
DESTINED FOR GREATNESS CHRISTIAN ACADEMY,St. Lucie,0,0,0,0,0,,0,0,,0,3,3,0,0,0,1,1,1
EXCEPTIONAL ACADEMY FOR DIFFERENTLY-ABLED L,St. Lucie,0,0,0,0,0,,0,0,,0,2,0,0,1,1,2,0,0
FAIRLAWN ELEMENTARY SCHOOL,St. Lucie,0,0,0,0,0,,0,0,,0,17,9,3,1,4,7,10,0
FAITH UNITED SCHOOL OF EXCELLENCE,St. Lucie,0,0,0,0,0,,0,0,,0,4,2,0,1,1,4,0,0
FAU/SLCSD PALM POINTE EDUCATIONAL RESEARCH SCHOOL,St. Lucie,3,3,0,0,0,,2,0,,1,38,30,1,2,5,21,12,5
FLORESTA ELEMENTARY SCHOOL,St. Lucie,0,0,0,0,0,,0,0,,0,21,17,0,1,3,11,6,4
FLORIDA STATE CHRISTIAN ACADEMY,St. Lucie,0,0,0,0,0,,0,0,,0,12,10,0,2,0,10,2,0
FLORIDA STATE CHRISTIAN ACADEMY,St. Lucie,1,1,0,0,0,,0,1,,0,13,10,0,1,2,10,3,0
FOREST GROVE MIDDLE SCHOOL,St. Lucie,1,0,0,0,1,,0,1,,0,36,24,2,2,8,27,8,1
FORT PIERCE CENTRAL HIGH SCHOOL,St. Lucie,5,5,0,0,0,,4,1,,0,138,115,2,1,20,93,36,9
FORT PIERCE WESTWOOD ACADEMY THE W.E.S.T. PREP MAGN,St. Lucie,1,1,0,0,0,,1,0,,0,70,57,1,1,11,46,20,4
